term,Q,seconds,minutes,grid_points,finished_at
a(9),1000000000,1,0.02,0,2026-08-06 17:22:42
a(10),10000000000,1,0.02,0,2026-08-06 17:22:43
a(11),100000000000,1,0.02,0,2026-08-06 17:22:44
a(12),1000000000000,1,0.02,1,2026-08-06 17:22:44
a(13),10000000000000,1,0.02,3,2026-08-06 17:22:45
a(14),100000000000000,1,0.02,6,2026-08-06 17:22:46
a(15),1000000000000000,1,0.02,8,2026-08-06 17:22:47
a(16),10000000000000000,1,0.02,10,2026-08-06 17:22:48
a(17),100000000000000000,1,0.02,13,2026-08-06 17:22:49
a(18),1000000000000000000,1,0.02,15,2026-08-06 17:22:51
a(9),1000000000,1,0.02,0,2026-08-06 17:26:20
a(10),10000000000,1,0.02,0,2026-08-06 17:26:21
a(11),100000000000,1,0.02,0,2026-08-06 17:26:22
a(12),1000000000000,1,0.02,1,2026-08-06 17:26:22
a(13),10000000000000,1,0.02,3,2026-08-06 17:26:23
a(14),100000000000000,1,0.02,6,2026-08-06 17:26:23
a(15),1000000000000000,1,0.02,8,2026-08-06 17:26:24
a(16),10000000000000000,1,0.02,10,2026-08-06 17:26:25
a(17),100000000000000000,1,0.02,13,2026-08-06 17:26:26
a(18),1000000000000000000,1,0.02,15,2026-08-06 17:26:28
a(9),1000000000,0,0.00,2,2026-08-06 17:44:44
a(9),1000000000,1,0.02,0,2026-08-06 17:46:10
a(10),10000000000,1,0.02,0,2026-08-06 17:46:11
a(11),100000000000,1,0.02,0,2026-08-06 17:46:11
a(12),1000000000000,1,0.02,1,2026-08-06 17:46:12
a(13),10000000000000,1,0.02,3,2026-08-06 17:46:13
a(14),100000000000000,1,0.02,6,2026-08-06 17:46:13
a(15),1000000000000000,1,0.02,8,2026-08-06 17:46:14
a(16),10000000000000000,1,0.02,10,2026-08-06 17:46:16
a(17),100000000000000000,1,0.02,13,2026-08-06 17:46:17
a(18),1000000000000000000,2,0.03,15,2026-08-06 17:46:18
a(19),10000000000000000000,678,11.30,17,2026-08-06 17:57:36
a(9),1000000000,0,0.00,0,2026-08-06 18:09:54
a(10),10000000000,0,0.00,0,2026-08-06 18:09:55
a(11),100000000000,0,0.00,0,2026-08-06 18:09:55
a(12),1000000000000,0,0.00,1,2026-08-06 18:09:55
a(13),10000000000000,0,0.00,3,2026-08-06 18:09:56
a(14),100000000000000,0,0.00,6,2026-08-06 18:09:56
a(15),1000000000000000,0,0.00,8,2026-08-06 18:09:57
a(16),10000000000000000,1,0.02,10,2026-08-06 18:09:57
a(17),100000000000000000,1,0.02,13,2026-08-06 18:09:58
a(18),1000000000000000000,1,0.02,15,2026-08-06 18:09:59
a(19),10000000000000000000,1,0.02,17,2026-08-06 18:10:00
a(20),100000000000000000000,3839,63.98,16,2026-08-06 19:15:23
a(21),1000000000000000000000,66,1.10,18,2026-08-07 09:40:44
a(9),1000000000,0,0.00,0,2026-08-07 19:27:23
a(10),10000000000,0,0.00,0,2026-08-07 19:27:23
a(11),100000000000,0,0.00,0,2026-08-07 19:27:23
a(12),1000000000000,0,0.00,1,2026-08-07 19:27:24
a(13),10000000000000,0,0.00,3,2026-08-07 19:27:24
a(14),100000000000000,0,0.00,6,2026-08-07 19:27:24
a(15),1000000000000000,1,0.02,8,2026-08-07 19:27:25
a(16),10000000000000000,1,0.02,10,2026-08-07 19:27:26
a(17),100000000000000000,1,0.02,13,2026-08-07 19:27:26
a(22),10000000000000000000000,8781,146.35,12,2026-08-09 03:28:01
a(1),10,1,0.02,0,2026-08-11 00:53:36
a(2),100,0,0.00,0,2026-08-11 00:53:37
a(3),1000,0,0.00,0,2026-08-11 00:53:37
a(4),10000,0,0.00,0,2026-08-11 00:53:37
a(5),100000,0,0.00,0,2026-08-11 00:53:38
a(6),1000000,0,0.00,0,2026-08-11 00:53:38
a(7),10000000,0,0.00,0,2026-08-11 00:53:38
a(8),100000000,0,0.00,0,2026-08-11 00:53:39
a(9),1000000000,0,0.00,0,2026-08-11 00:54:57
a(10),10000000000,0,0.00,0,2026-08-11 00:54:57
a(11),100000000000,0,0.00,0,2026-08-11 00:54:58
a(12),1000000000000,0,0.00,1,2026-08-11 00:54:58
a(13),10000000000000,1,0.02,3,2026-08-11 00:54:59
a(14),100000000000000,1,0.02,6,2026-08-11 00:55:00
a(15),1000000000000000,4,0.07,8,2026-08-11 00:55:05
a(16),10000000000000000,17,0.28,10,2026-08-11 00:55:21
a(17),100000000000000000,92,1.53,13,2026-08-11 00:56:53
a(18),1000000000000000000,343,5.72,15,2026-08-11 01:02:36
a(21) [fresh],1000000000000000000000,16307,271.78,18,2026-08-11 05:41:28
a(22) [fresh],10000000000000000000000,53002,883.37,12,2026-08-11 20:25:47
